img_name,img_type1,img_type2,evolution,name_clean,name,pokedex_number,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,base_total,generation,is_legendary,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,capture_rate,base_egg_steps,height_m,weight_kg,classfication,abilities,final_type1,final_type2
quagsire,Water,Ground,,quagsire,Quagsire,195.0,water,ground,95.0,85.0,85.0,65.0,65.0,35.0,430.0,2.0,0.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,90,5120.0,1.4,75.0,Water Fish Pokémon,"['Damp', 'Water Absorb', 'Unaware']",water,ground
espeon,Psychic,,,espeon,Espeon,196.0,psychic,,65.0,65.0,60.0,130.0,95.0,110.0,525.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,45,8960.0,0.9,26.5,Sun Pokémon,"['Synchronize', 'Magic Bounce']",psychic,
umbreon,Dark,,,umbreon,Umbreon,197.0,dark,,95.0,65.0,110.0,60.0,130.0,65.0,525.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,45,8960.0,1.0,27.0,Moonlight Pokémon,"['Synchronize', 'Inner Focus']",dark,
murkrow,Dark,Flying,,murkrow,Murkrow,198.0,dark,flying,60.0,85.0,42.0,85.0,42.0,91.0,405.0,2.0,0.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,30,5120.0,0.5,2.1,Darkness Pokémon,"['Insomnia', 'Super Luck', 'Prankster']",dark,flying
slowking,Water,Psychic,,slowking,Slowking,199.0,water,psychic,95.0,75.0,80.0,100.0,110.0,30.0,490.0,2.0,0.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,70,5120.0,2.0,79.5,Royal Pokémon,"['Oblivious', 'Own Tempo', 'Regenerator']",water,psychic
misdreavus,Ghost,,,misdreavus,Misdreavus,200.0,ghost,,60.0,60.0,60.0,85.0,85.0,85.0,435.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,45,6400.0,0.7,1.0,Screech Pokémon,['Levitate'],ghost,
unown,Psychic,,,unown,Unown,201.0,psychic,,48.0,72.0,48.0,72.0,48.0,48.0,336.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,225,10240.0,0.5,5.0,Symbol Pokémon,['Levitate'],psychic,
wobbuffet,Psychic,,,wobbuffet,Wobbuffet,202.0,psychic,,190.0,33.0,58.0,33.0,58.0,33.0,405.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,45,5120.0,1.3,28.5,Patient Pokémon,"['Shadow Tag', 'Telepathy']",psychic,
girafarig,Normal,Psychic,,girafarig,Girafarig,203.0,normal,psychic,70.0,80.0,65.0,90.0,65.0,85.0,455.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,60,5120.0,1.5,41.5,Long Neck Pokémon,"['Inner Focus', 'Early Bird', 'Sap Sipper']",normal,psychic
pineco,Bug,,,pineco,Pineco,204.0,bug,,50.0,65.0,90.0,35.0,35.0,15.0,290.0,2.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,190,5120.0,0.6,7.2,Bagworm Pokémon,"['Sturdy', 'Overcoat']",bug,
forretress,Bug,Steel,,forretress,Forretress,205.0,bug,steel,75.0,90.0,140.0,60.0,60.0,40.0,465.0,2.0,0.0,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120.0,1.2,125.8,Bagworm Pokémon,"['Sturdy', 'Overcoat']",bug,steel
dunsparce,Normal,,,dunsparce,Dunsparce,206.0,normal,,100.0,70.0,70.0,65.0,65.0,45.0,415.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,190,5120.0,1.5,14.0,Land Snake Pokémon,"['Serene Grace', 'Run Away', 'Rattled']",normal,
gligar,Ground,Flying,,gligar,Gligar,207.0,ground,flying,65.0,75.0,105.0,35.0,65.0,85.0,430.0,2.0,0.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,60,5120.0,1.1,64.8,Flyscorpion Pokémon,"['Hyper Cutter', 'Sand Veil', 'Immunity']",ground,flying
steelix,Steel,Ground,,steelix,Steelix,208.0,steel,ground,75.0,125.0,230.0,55.0,95.0,30.0,610.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,25,6400.0,9.2,400.0,Iron Snake Pokémon,"['Rock Head', 'Sturdy', 'Sheer Force']",steel,ground
snubbull,Fairy,,,snubbull,Snubbull,209.0,fairy,,60.0,80.0,50.0,40.0,40.0,30.0,300.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,190,5120.0,0.6,7.8,Fairy Pokémon,"['Intimidate', 'Run Away', 'Rattled']",fairy,
granbull,Fairy,,,granbull,Granbull,210.0,fairy,,90.0,120.0,75.0,60.0,60.0,45.0,450.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,75,5120.0,1.4,48.7,Fairy Pokémon,"['Intimidate', 'Quick Feet', 'Rattled']",fairy,
qwilfish,Water,Poison,,qwilfish,Qwilfish,211.0,water,poison,65.0,95.0,85.0,55.0,55.0,85.0,440.0,2.0,0.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,5120.0,0.5,3.9,Balloon Pokémon,"['Poison Point', 'Swift Swim', 'Intimidate']",water,poison
scizor,Bug,Steel,,scizor,Scizor,212.0,bug,steel,70.0,150.0,140.0,65.0,100.0,75.0,600.0,2.0,0.0,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,25,6400.0,1.8,118.0,Pincer Pokémon,"['Swarm', 'Technician', 'Light Metal']",bug,steel
shuckle,Bug,Rock,,shuckle,Shuckle,213.0,bug,rock,20.0,10.0,230.0,10.0,230.0,5.0,505.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,190,5120.0,0.6,20.5,Mold Pokémon,"['Sturdy', 'Gluttony', 'Contrary']",bug,rock
heracross,Bug,Fighting,,heracross,Heracross,214.0,bug,fighting,80.0,185.0,115.0,40.0,105.0,75.0,600.0,2.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,45,6400.0,1.5,54.0,Singlehorn Pokémon,"['Swarm', 'Guts', 'Moxie']",bug,fighting
sneasel,Dark,Ice,,sneasel,Sneasel,215.0,dark,ice,55.0,95.0,55.0,35.0,75.0,115.0,430.0,2.0,0.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0,60,5120.0,0.9,28.0,Sharp Claw Pokémon,"['Inner Focus', 'Keen Eye', 'Pickpocket']",dark,ice
teddiursa,Normal,,,teddiursa,Teddiursa,216.0,normal,,60.0,80.0,50.0,50.0,50.0,40.0,330.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,120,5120.0,0.6,8.8,Little Bear Pokémon,"['Pickup', 'Quick Feet', 'Honey Gather']",normal,
ursaring,Normal,,,ursaring,Ursaring,217.0,normal,,90.0,130.0,75.0,75.0,75.0,55.0,500.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,60,5120.0,1.8,125.8,Hibernator Pokémon,"['Guts', 'Quick Feet', 'Unnerve']",normal,
slugma,Fire,,,slugma,Slugma,218.0,fire,,40.0,40.0,40.0,70.0,40.0,20.0,250.0,2.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,190,5120.0,0.7,35.0,Lava Pokémon,"['Magma Armor', 'Flame Body', 'Weak Armor']",fire,
magcargo,Fire,Rock,,magcargo,Magcargo,219.0,fire,rock,60.0,50.0,120.0,90.0,80.0,30.0,430.0,2.0,0.0,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,75,5120.0,0.8,55.0,Lava Pokémon,"['Magma Armor', 'Flame Body', 'Weak Armor']",fire,rock
swinub,Ice,Ground,,swinub,Swinub,220.0,ice,ground,50.0,50.0,40.0,30.0,30.0,50.0,250.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,225,5120.0,0.4,6.5,Pig Pokémon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",ice,ground
piloswine,Ice,Ground,,piloswine,Piloswine,221.0,ice,ground,100.0,100.0,80.0,60.0,60.0,50.0,450.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,75,5120.0,1.1,55.8,Swine Pokémon,"['Oblivious', 'Snow Cloak', 'Thick Fat']",ice,ground
corsola,Water,Rock,,corsola,Corsola,222.0,water,rock,65.0,55.0,95.0,65.0,95.0,35.0,410.0,2.0,0.0,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120.0,0.6,5.0,Coral Pokémon,"['Hustle', 'Natural Cure', 'Regenerator']",water,rock
remoraid,Water,,,remoraid,Remoraid,223.0,water,,35.0,65.0,35.0,65.0,35.0,65.0,300.0,2.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,190,5120.0,0.6,12.0,Jet Pokémon,"['Hustle', 'Sniper', 'Moody']",water,
octillery,Water,,,octillery,Octillery,224.0,water,,75.0,105.0,75.0,105.0,75.0,45.0,480.0,2.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,75,5120.0,0.9,28.5,Jet Pokémon,"['Suction Cups', 'Sniper', 'Moody']",water,
delibird,Ice,Flying,,delibird,Delibird,225.0,ice,flying,45.0,55.0,45.0,65.0,45.0,75.0,330.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,45,5120.0,0.9,16.0,Delivery Pokémon,"['Vital Spirit', 'Hustle', 'Insomnia']",ice,flying
mantine,Water,Flying,,mantine,Mantine,226.0,water,flying,85.0,40.0,70.0,80.0,140.0,70.0,485.0,2.0,0.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,25,6400.0,2.1,220.0,Kite Pokémon,"['Swift Swim', 'Water Absorb', 'Water Veil']",water,flying
skarmory,Steel,Flying,,skarmory,Skarmory,227.0,steel,flying,65.0,80.0,140.0,40.0,70.0,70.0,465.0,2.0,0.0,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5,25,6400.0,1.7,50.5,Armor Bird Pokémon,"['Keen Eye', 'Sturdy', 'Weak Armor']",steel,flying
houndour,Dark,Fire,,houndour,Houndour,228.0,dark,fire,45.0,60.0,30.0,80.0,50.0,65.0,330.0,2.0,0.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,120,5120.0,0.6,10.8,Dark Pokémon,"['Early Bird', 'Flash Fire', 'Unnerve']",dark,fire
houndoom,Dark,Fire,,houndoom,Houndoom,229.0,dark,fire,75.0,90.0,90.0,140.0,90.0,115.0,600.0,2.0,0.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,45,5120.0,1.4,35.0,Dark Pokémon,"['Early Bird', 'Flash Fire', 'Unnerve']",dark,fire
kingdra,Water,Dragon,,kingdra,Kingdra,230.0,water,dragon,75.0,95.0,95.0,95.0,95.0,85.0,540.0,2.0,0.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,45,5120.0,1.8,152.0,Dragon Pokémon,"['Swift Swim', 'Sniper', 'Damp']",water,dragon
phanpy,Ground,,,phanpy,Phanpy,231.0,ground,,90.0,60.0,60.0,40.0,40.0,40.0,330.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,120,5120.0,0.5,33.5,Long Nose Pokémon,"['Pickup', 'Sand Veil']",ground,
donphan,Ground,,,donphan,Donphan,232.0,ground,,90.0,120.0,120.0,60.0,60.0,50.0,500.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,60,5120.0,1.1,120.0,Armor Pokémon,"['Sturdy', 'Sand Veil']",ground,
porygon2,Normal,,,porygon2,Porygon2,233.0,normal,,85.0,80.0,90.0,105.0,95.0,60.0,515.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,45,5120.0,0.6,32.5,Virtual Pokémon,"['Trace', 'Download', 'Analytic']",normal,
stantler,Normal,,,stantler,Stantler,234.0,normal,,73.0,95.0,62.0,85.0,65.0,85.0,465.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,45,5120.0,1.4,71.2,Big Horn Pokémon,"['Intimidate', 'Frisk', 'Sap Sipper']",normal,
smeargle,Normal,,,smeargle,Smeargle,235.0,normal,,55.0,20.0,35.0,20.0,45.0,75.0,250.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,45,5120.0,1.2,58.0,Painter Pokémon,"['Own Tempo', 'Technician', 'Moody']",normal,
tyrogue,Fighting,,,tyrogue,Tyrogue,236.0,fighting,,35.0,35.0,35.0,35.0,35.0,35.0,210.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,75,6400.0,0.7,21.0,Scuffle Pokémon,"['Guts', 'Steadfast', 'Vital Spirit']",fighting,
hitmontop,Fighting,,,hitmontop,Hitmontop,237.0,fighting,,50.0,95.0,95.0,35.0,110.0,70.0,455.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,45,6400.0,1.4,48.0,Handstand Pokémon,"['Intimidate', 'Technician', 'Steadfast']",fighting,
smoochum,Ice,Psychic,,smoochum,Smoochum,238.0,ice,psychic,45.0,30.0,15.0,85.0,65.0,65.0,305.0,2.0,0.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,45,6400.0,0.4,6.0,Kiss Pokémon,"['Oblivious', 'Forewarn', 'Hydration']",ice,psychic
elekid,Electric,,,elekid,Elekid,239.0,electric,,45.0,63.0,37.0,65.0,55.0,95.0,360.0,2.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,45,6400.0,0.6,23.5,Electric Pokémon,"['Static', 'Vital Spirit']",electric,
magby,Fire,,,magby,Magby,240.0,fire,,45.0,75.0,37.0,70.0,55.0,83.0,365.0,2.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,45,6400.0,0.7,21.4,Live Coal Pokémon,"['Flame Body', 'Vital Spirit']",fire,
miltank,Normal,,,miltank,Miltank,241.0,normal,,95.0,80.0,105.0,40.0,70.0,100.0,490.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,45,5120.0,1.2,75.5,Milk Cow Pokémon,"['Thick Fat', 'Scrappy', 'Sap Sipper']",normal,
blissey,Normal,,,blissey,Blissey,242.0,normal,,255.0,10.0,10.0,75.0,135.0,55.0,540.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,30,10240.0,1.5,46.8,Happiness Pokémon,"['Natural Cure', 'Serene Grace', 'Healer']",normal,
raikou,Electric,,,raikou,Raikou,243.0,electric,,90.0,85.0,75.0,115.0,100.0,115.0,580.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3,20480.0,1.9,178.0,Thunder Pokémon,"['Pressure', 'Inner Focus']",electric,
entei,Fire,,,entei,Entei,244.0,fire,,115.0,115.0,85.0,90.0,75.0,100.0,580.0,2.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,3,20480.0,2.1,198.0,Volcano Pokémon,"['Pressure', 'Inner Focus']",fire,
suicune,Water,,,suicune,Suicune,245.0,water,,100.0,75.0,115.0,90.0,115.0,85.0,580.0,2.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,3,20480.0,2.0,187.0,Aurora Pokémon,"['Pressure', 'Inner Focus']",water,
larvitar,Rock,Ground,,larvitar,Larvitar,246.0,rock,ground,50.0,64.0,50.0,45.0,50.0,41.0,300.0,2.0,0.0,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,45,10240.0,0.6,72.0,Rock Skin Pokémon,"['Guts', 'Sand Veil']",rock,ground
pupitar,Rock,Ground,,pupitar,Pupitar,247.0,rock,ground,70.0,84.0,70.0,65.0,70.0,51.0,410.0,2.0,0.0,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,45,10240.0,1.2,152.0,Hard Shell Pokémon,['Shed Skin'],rock,ground
tyranitar,Rock,Dark,,tyranitar,Tyranitar,248.0,rock,dark,100.0,164.0,150.0,95.0,120.0,71.0,700.0,2.0,0.0,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,45,10240.0,2.0,202.0,Armor Pokémon,"['Sand Stream', 'Unnerve']",rock,dark
lugia,Psychic,Flying,,lugia,Lugia,249.0,psychic,flying,106.0,90.0,130.0,90.0,154.0,110.0,680.0,2.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3,30720.0,5.2,216.0,Diving Pokémon,"['Pressure', 'Multiscale']",psychic,flying
ho-oh,Fire,Flying,,ho-oh,Ho-Oh,250.0,fire,flying,106.0,130.0,90.0,110.0,154.0,90.0,680.0,2.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,3,30720.0,3.8,199.0,Rainbow Pokémon,"['Pressure', 'Regenerator']",fire,flying
celebi,Psychic,Grass,,celebi,Celebi,251.0,psychic,grass,100.0,100.0,100.0,100.0,100.0,100.0,600.0,2.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,45,30720.0,0.6,5.0,Time Travel Pokémon,['Natural Cure'],psychic,grass
treecko,Grass,,,treecko,Treecko,252.0,grass,,40.0,45.0,35.0,65.0,55.0,70.0,310.0,3.0,0.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,45,5120.0,0.5,5.0,Wood Gecko Pokémon,"['Overgrow', 'Unburden']",grass,
grovyle,Grass,,,grovyle,Grovyle,253.0,grass,,50.0,65.0,45.0,85.0,65.0,95.0,405.0,3.0,0.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,45,5120.0,0.9,21.6,Wood Gecko Pokémon,"['Overgrow', 'Unburden']",grass,
sceptile,Grass,,,sceptile,Sceptile,254.0,grass,,70.0,110.0,75.0,145.0,85.0,145.0,630.0,3.0,0.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,45,5120.0,1.7,52.2,Forest Pokémon,"['Overgrow', 'Unburden']",grass,
torchic,Fire,,,torchic,Torchic,255.0,fire,,45.0,60.0,40.0,70.0,50.0,45.0,310.0,3.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,45,5120.0,0.4,2.5,Chick Pokémon,"['Blaze', 'Speed Boost']",fire,
combusken,Fire,Fighting,,combusken,Combusken,256.0,fire,fighting,60.0,85.0,60.0,85.0,60.0,55.0,405.0,3.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,45,5120.0,0.9,19.5,Young Fowl Pokémon,"['Blaze', 'Speed Boost']",fire,fighting
blaziken,Fire,Fighting,,blaziken,Blaziken,257.0,fire,fighting,80.0,160.0,80.0,130.0,80.0,100.0,630.0,3.0,0.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,45,5120.0,1.9,52.0,Blaze Pokémon,"['Blaze', 'Speed Boost']",fire,fighting
mudkip,Water,,,mudkip,Mudkip,258.0,water,,50.0,70.0,50.0,50.0,50.0,40.0,310.0,3.0,0.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,45,5120.0,0.4,7.6,Mud Fish Pokémon,"['Torrent', 'Damp']",water,
marshtomp,Water,Ground,,marshtomp,Marshtomp,259.0,water,ground,70.0,85.0,70.0,60.0,70.0,50.0,405.0,3.0,0.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,45,5120.0,0.7,28.0,Mud Fish Pokémon,"['Torrent', 'Damp']",water,ground
swampert,Water,Ground,,swampert,Swampert,260.0,water,ground,100.0,150.0,110.0,95.0,110.0,70.0,635.0,3.0,0.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,45,5120.0,1.5,81.9,Mud Fish Pokémon,"['Torrent', 'Damp']",water,ground
poochyena,Dark,,,poochyena,Poochyena,261.0,dark,,35.0,55.0,35.0,30.0,30.0,35.0,220.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,255,3840.0,0.5,13.6,Bite Pokémon,"['Run Away', 'Quick Feet', 'Rattled']",dark,
mightyena,Dark,,,mightyena,Mightyena,262.0,dark,,70.0,90.0,70.0,60.0,60.0,70.0,420.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,127,3840.0,1.0,37.0,Bite Pokémon,"['Intimidate', 'Quick Feet', 'Moxie']",dark,
zigzagoon,Normal,,,zigzagoon,Zigzagoon,263.0,normal,,38.0,30.0,41.0,30.0,41.0,60.0,240.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,255,3840.0,0.4,17.5,Tiny Racoon Pokémon,"['Pickup', 'Gluttony', 'Quick Feet']",normal,
linoone,Normal,,,linoone,Linoone,264.0,normal,,78.0,70.0,61.0,50.0,61.0,100.0,420.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,90,3840.0,0.5,32.5,Rush Pokémon,"['Pickup', 'Gluttony', 'Quick Feet']",normal,
wurmple,Bug,,,wurmple,Wurmple,265.0,bug,,45.0,45.0,35.0,20.0,30.0,20.0,195.0,3.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,255,3840.0,0.3,3.6,Worm Pokémon,"['Shield Dust', 'Run Away']",bug,
silcoon,Bug,,,silcoon,Silcoon,266.0,bug,,50.0,35.0,55.0,25.0,25.0,15.0,205.0,3.0,0.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,120,3840.0,0.6,10.0,Cocoon Pokémon,['Shed Skin'],bug,
beautifly,Bug,Flying,,beautifly,Beautifly,267.0,bug,flying,60.0,70.0,50.0,100.0,50.0,65.0,395.0,3.0,0.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,45,3840.0,1.0,28.4,Butterfly Pokémon,"['Swarm', 'Rivalry']",bug,flying
